requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
98,system,NN,O,NON-PERSON,generate,VB,TV,FALSE,report of value of item in entire collection,NN,O,TN ,0
98,system,NN,O,NON-PERSON,generate,VB,TV,FALSE,report,NN,O,TN ,0
98,system,NN,O,NON-PERSON,generate,VB,TV,FALSE,report of value of item in collection,NN,O,TN ,0
100,fine,NNS,O,NON-PERSON,be,VBP,TV,FALSE,attach,VBN,O,TV ,0
100,fine,NNS,O,NON-PERSON,be,VBP,TV,FALSE,attach to patron record,NNS,O,TN ,0
101,fine payment,NNS,O,NON-PERSON,make per,IN,TV,FALSE,library,NN,O,TN ,0
101,payment,NNS,O,NON-PERSON,make per,IN,TV,FALSE,library,NN,O,TN ,0
102,Financial information,NN,O,NON-PERSON,can,MD,TV,FALSE,can update easily,RB,O,TN ,0
102,Financial information,NN,O,NON-PERSON,can,MD,TV,FALSE,can update,VBN,O,TN ,0
103,staff user,NN,PERSON,PERSON,easily query patron account with,IN,TV,FALSE,balance greater,JJR,O,TN ,0
103,staff user,NN,PERSON,PERSON,easily query patron account with,IN,TV,FALSE,balance,NNS,O,TN ,0
103,staff user,NN,PERSON,PERSON,query patron account with,IN,TV,FALSE,balance greater than x dollar,NNS,MONEY,TN ,0
103,staff user,NN,PERSON,PERSON,easily query patron account with,IN,TV,FALSE,balance greater than x dollar,NNS,MONEY,TN ,0
103,staff user,NN,PERSON,PERSON,query patron account with,IN,TV,FALSE,balance greater,JJR,O,TN ,0
103,staff user,NN,PERSON,PERSON,query,VB,TV,FALSE,patron account,NNS,O,TN ,0
103,staff user,NN,PERSON,PERSON,easily query,VB,TV,FALSE,patron account,NNS,O,TN ,0
103,staff user,NN,PERSON,PERSON,query patron account with,IN,TV,FALSE,balance,NNS,O,TN ,0
103,staff user,NN,PERSON,PERSON,easily query patron account as,IN,TV,FALSE,example,NN,O,TN ,0
103,staff user,NN,PERSON,PERSON,query patron account as,IN,TV,FALSE,example,NN,O,TN ,0
104,system,NN,O,NON-PERSON,provide,VBZ,TV,TRUE,report,NNS,O,TN ,0
104,system,NN,O,NON-PERSON,provide,VBZ,TV,TRUE,report include,VBG,O,TN ,0
104,system,NN,O,NON-PERSON,provide,VBZ,TV,TRUE,financial report include,VBG,O,OTHER ,0
104,system,NN,O,NON-PERSON,provide,VBZ,TV,TRUE,financial report,NNS,O,TN ,0
105,fine,NNS,O,NON-PERSON,waive per,IN,TV,FALSE,branch,NN,O,TN ,0
105,fine,NNS,O,NON-PERSON,waive per,IN,TV,FALSE,time period,NN,O,TN ,0
106,payment,NNS,O,NON-PERSON,make per,IN,TV,FALSE,payment method,NN,O,TN ,0
106,payment,NNS,O,NON-PERSON,make per,IN,TV,FALSE,time period,NN,O,TN ,0
107,system,NN,O,NON-PERSON,maintain,VBZ,TV,FALSE,ledger,NN,O,TN ,0
107,charge payment,NNS,O,NON-PERSON,be,VBP,TV,FALSE,apply,VBN,O,TV ,0
107,system,NN,O,NON-PERSON,maintain,VBZ,TV,FALSE,ledger of patron payment,NNS,O,TN ,0
107,charge payment,NNS,O,NON-PERSON,facilitate,VB,TV,TRUE,reconciliation,NN,O,TN ,0
